epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,511.94,0.93155,1.23743,0.39091,0.16547,0.48196,0.04006,0.02105,0.59458,1.54956,0.22653,3.32738e-05,3.32738e-05,0.0667595
2,1003.36,0.66934,1.19414,0.2382,0.36002,0.34492,0.07962,0.04054,0.53257,1.30399,0.18999,6.65909e-05,6.65909e-05,0.0334594
3,1494.26,0.61299,0.96249,0.21319,0.41325,0.4924,0.38659,0.21441,0.48853,0.86587,0.18109,9.98429e-05,9.98429e-05,0.000159367
4,1985,0.56563,0.81684,0.19543,0.51522,0.60022,0.51843,0.29056,0.49061,0.75222,0.17923,9.97803e-05,9.97803e-05,9.97803e-05
5,2475.4,0.55393,0.74179,0.19173,0.59472,0.63009,0.59545,0.33593,0.47814,0.669,0.17486,9.96097e-05,9.96097e-05,9.96097e-05
6,2965.44,0.52994,0.69382,0.17921,0.60972,0.65627,0.63617,0.35498,0.47236,0.64519,0.16961,9.93906e-05,9.93906e-05,9.93906e-05
7,3455.29,0.51445,0.67392,0.17575,0.62418,0.67167,0.65305,0.37535,0.46796,0.6441,0.16892,9.91232e-05,9.91232e-05,9.91232e-05
8,3945.18,0.50687,0.64741,0.16981,0.66427,0.71414,0.67552,0.39072,0.45566,0.6346,0.165,9.88079e-05,9.88079e-05,9.88079e-05
9,4435.03,0.49404,0.63259,0.163,0.67554,0.71261,0.6927,0.40202,0.46371,0.61703,0.17497,9.84449e-05,9.84449e-05,9.84449e-05
10,4924.73,0.49166,0.61082,0.15855,0.6736,0.75529,0.70839,0.41247,0.44997,0.6034,0.1651,9.80345e-05,9.80345e-05,9.80345e-05
11,5415.77,0.47414,0.60369,0.15402,0.69719,0.73504,0.72443,0.43148,0.44379,0.58541,0.16095,9.75773e-05,9.75773e-05,9.75773e-05
12,5906.18,0.47199,0.59068,0.15292,0.70451,0.73847,0.72568,0.42769,0.44809,0.57862,0.16178,9.70736e-05,9.70736e-05,9.70736e-05
13,6395.61,0.46294,0.58091,0.15028,0.70333,0.76914,0.74092,0.44833,0.43569,0.5741,0.15833,9.65239e-05,9.65239e-05,9.65239e-05
14,6886.21,0.45779,0.56815,0.1456,0.7054,0.77049,0.747,0.45129,0.43508,0.57191,0.15963,9.59289e-05,9.59289e-05,9.59289e-05
15,7377.21,0.45018,0.5691,0.14566,0.70139,0.79021,0.74997,0.45492,0.43229,0.56313,0.15656,9.52889e-05,9.52889e-05,9.52889e-05
16,7868.98,0.4486,0.5615,0.14003,0.71075,0.76765,0.74918,0.45423,0.4356,0.56486,0.15798,9.46048e-05,9.46048e-05,9.46048e-05
17,8358.66,0.43904,0.55837,0.13933,0.71528,0.77765,0.75973,0.46348,0.42999,0.57379,0.15727,9.38772e-05,9.38772e-05,9.38772e-05
18,8848.82,0.4326,0.54338,0.13835,0.71384,0.7842,0.76179,0.46513,0.43111,0.57034,0.15877,9.31067e-05,9.31067e-05,9.31067e-05
19,9338.57,0.43626,0.54616,0.13691,0.73446,0.78474,0.76903,0.47615,0.42519,0.56515,0.15826,9.22942e-05,9.22942e-05,9.22942e-05
20,9828.69,0.42262,0.53528,0.13159,0.72653,0.79105,0.77175,0.47576,0.4265,0.56525,0.15709,9.14405e-05,9.14405e-05,9.14405e-05
21,10318.5,0.41312,0.53215,0.13238,0.73156,0.7882,0.7682,0.46843,0.43075,0.56744,0.15935,9.05463e-05,9.05463e-05,9.05463e-05
22,10808.4,0.41465,0.52936,0.13008,0.7429,0.79358,0.77899,0.47589,0.42522,0.55983,0.159,8.96127e-05,8.96127e-05,8.96127e-05
23,11298.8,0.41249,0.51902,0.12729,0.73511,0.79597,0.78023,0.4752,0.42897,0.54038,0.15965,8.86404e-05,8.86404e-05,8.86404e-05
24,11789.1,0.40738,0.50975,0.12591,0.74862,0.78871,0.77511,0.47829,0.42643,0.55721,0.15858,8.76305e-05,8.76305e-05,8.76305e-05
25,12280,0.40272,0.51491,0.12526,0.73918,0.78839,0.77994,0.4859,0.42047,0.55244,0.15454,8.65839e-05,8.65839e-05,8.65839e-05
26,12770.7,0.39562,0.5073,0.12291,0.76028,0.78275,0.78179,0.48838,0.42532,0.56519,0.16123,8.55018e-05,8.55018e-05,8.55018e-05
